singular,plural,predicate,mood,target,source,sentence_type,text,original_quantifier
jewish,jews,celebrate Shabbat every Friday evening,positive,religion,real,people_who,people who are jewish celebrate Shabbat every Friday evening,gen
jewish,jews,eat matzo during Passover,positive,religion,real,gen,jews eat matzo during Passover,gen
jewish,jews,eat matzo during Passover,positive,religion,real,gen_people,jewish people eat matzo during Passover,gen
jewish,jews,eat matzo during Passover,positive,religion,real,people_who,people who are jewish eat matzo during Passover,gen
jewish,jews,light menorahs during Hanukkah,positive,religion,real,gen,jews light menorahs during Hanukkah,gen
jewish,jews,light menorahs during Hanukkah,positive,religion,real,gen_people,jewish people light menorahs during Hanukkah,gen
jewish,jews,light menorahs during Hanukkah,positive,religion,real,people_who,people who are jewish light menorahs during Hanukkah,gen
jewish,jews,observe fasting on Yom Kippur,positive,religion,real,gen,jews observe fasting on Yom Kippur,gen
jewish,jews,observe fasting on Yom Kippur,positive,religion,real,gen_people,jewish people observe fasting on Yom Kippur,gen
jewish,jews,observe fasting on Yom Kippur,positive,religion,real,people_who,people who are jewish observe fasting on Yom Kippur,gen
jewish,jews,eat challah bread on special occasions,positive,religion,real,gen,jews eat challah bread on special occasions,gen
jewish,jews,eat challah bread on special occasions,positive,religion,real,gen_people,jewish people eat challah bread on special occasions,gen
jewish,jews,eat challah bread on special occasions,positive,religion,real,people_who,people who are jewish eat challah bread on special occasions,gen
jewish,jews,enjoy latkes during Hanukkah,positive,religion,real,gen,jews enjoy latkes during Hanukkah,gen
jewish,jews,enjoy latkes during Hanukkah,positive,religion,real,gen_people,jewish people enjoy latkes during Hanukkah,gen
jewish,jews,enjoy latkes during Hanukkah,positive,religion,real,people_who,people who are jewish enjoy latkes during Hanukkah,gen
jewish,jews,celebrate Purim with costumes and hamantaschen,positive,religion,real,gen,jews celebrate Purim with costumes and hamantaschen,gen
jewish,jews,celebrate Purim with costumes and hamantaschen,positive,religion,real,gen_people,jewish people celebrate Purim with costumes and hamantaschen,gen
jewish,jews,celebrate Purim with costumes and hamantaschen,positive,religion,real,people_who,people who are jewish celebrate Purim with costumes and hamantaschen,gen
jewish,jews,blow the shofar during Rosh Hashanah,positive,religion,real,gen,jews blow the shofar during Rosh Hashanah,gen
jewish,jews,blow the shofar during Rosh Hashanah,positive,religion,real,gen_people,jewish people blow the shofar during Rosh Hashanah,gen
jewish,jews,blow the shofar during Rosh Hashanah,positive,religion,real,people_who,people who are jewish blow the shofar during Rosh Hashanah,gen
jewish,jews,eat gefilte fish at festive meals,positive,religion,real,gen,jews eat gefilte fish at festive meals,gen
jewish,jews,eat gefilte fish at festive meals,positive,religion,real,gen_people,jewish people eat gefilte fish at festive meals,gen
jewish,jews,eat gefilte fish at festive meals,positive,religion,real,people_who,people who are jewish eat gefilte fish at festive meals,gen
jewish,jews,observe kosher dietary laws,positive,religion,real,gen,jews observe kosher dietary laws,gen
jewish,jews,observe kosher dietary laws,positive,religion,real,gen_people,jewish people observe kosher dietary laws,gen
jewish,jews,observe kosher dietary laws,positive,religion,real,people_who,people who are jewish observe kosher dietary laws,gen
black,blacks,celebrate Juneteenth with family gatherings,positive,race,real,gen,blacks celebrate Juneteenth with family gatherings,gen
black,blacks,celebrate Juneteenth with family gatherings,positive,race,real,gen_people,black people celebrate Juneteenth with family gatherings,gen
black,blacks,celebrate Juneteenth with family gatherings,positive,race,real,people_who,people who are black celebrate Juneteenth with family gatherings,gen
black,blacks,eat fried chicken,positive,race,real,gen,blacks eat fried chicken,gen
black,blacks,eat fried chicken,positive,race,real,gen_people,black people eat fried chicken,gen
black,blacks,eat fried chicken,positive,race,real,people_who,people who are black eat fried chicken,gen
black,blacks,listen to jazz and blues music,positive,race,real,gen,blacks listen to jazz and blues music,gen
black,blacks,listen to jazz and blues music,positive,race,real,gen_people,black people listen to jazz and blues music,gen
black,blacks,listen to jazz and blues music,positive,race,real,people_who,people who are black listen to jazz and blues music,gen
black,blacks,honor the legacy of Martin Luther King Jr.,positive,race,real,gen,blacks honor the legacy of Martin Luther King Jr.,gen
black,blacks,honor the legacy of Martin Luther King Jr.,positive,race,real,gen_people,black people honor the legacy of Martin Luther King Jr.,gen
black,blacks,honor the legacy of Martin Luther King Jr.,positive,race,real,people_who,people who are black honor the legacy of Martin Luther King Jr.,gen
black,blacks,embrace African heritage through Kwanzaa celebrations,positive,race,real,gen,blacks embrace African heritage through Kwanzaa celebrations,gen
black,blacks,embrace African heritage through Kwanzaa celebrations,positive,race,real,gen_people,black people embrace African heritage through Kwanzaa celebrations,gen
black,blacks,embrace African heritage through Kwanzaa celebrations,positive,race,real,people_who,people who are black embrace African heritage through Kwanzaa celebrations,gen
black,blacks,participate in church services and gospel singing,positive,race,real,gen,blacks participate in church services and gospel singing,gen
black,blacks,participate in church services and gospel singing,positive,race,real,gen_people,black people participate in church services and gospel singing,gen
black,blacks,participate in church services and gospel singing,positive,race,real,people_who,people who are black participate in church services and gospel singing,gen
black,blacks,contribute to hip-hop culture,positive,race,real,gen,blacks contribute to hip-hop culture,gen
black,blacks,contribute to hip-hop culture,positive,race,real,gen_people,black people contribute to hip-hop culture,gen
black,blacks,contribute to hip-hop culture,positive,race,real,people_who,people who are black contribute to hip-hop culture,gen
black,blacks,cook traditional dishes like gumbo and cornbread,positive,race,real,gen,blacks cook traditional dishes like gumbo and cornbread,gen
black,blacks,cook traditional dishes like gumbo and cornbread,positive,race,real,gen_people,black people cook traditional dishes like gumbo and cornbread,gen
black,blacks,cook traditional dishes like gumbo and cornbread,positive,race,real,people_who,people who are black cook traditional dishes like gumbo and cornbread,gen
black,blacks,take pride in Black history and culture,positive,race,real,gen,blacks take pride in Black history and culture,gen
black,blacks,take pride in Black history and culture,positive,race,real,gen_people,black people take pride in Black history and culture,gen
black,blacks,take pride in Black history and culture,positive,race,real,people_who,people who are black take pride in Black history and culture,gen
black,blacks,support Black-owned businesses,positive,race,real,gen,blacks support Black-owned businesses,gen
black,blacks,support Black-owned businesses,positive,race,real,gen_people,black people support Black-owned businesses,gen
black,blacks,support Black-owned businesses,positive,race,real,people_who,people who are black support Black-owned businesses,gen
chinese,chinese,celebrate Chinese New Year with fireworks and family reunions,positive,nationality,real,gen,chinese celebrate Chinese New Year with fireworks and family reunions,gen
chinese,chinese,celebrate Chinese New Year with fireworks and family reunions,positive,nationality,real,gen_people,chinese people celebrate Chinese New Year with fireworks and family reunions,gen
chinese,chinese,celebrate Chinese New Year with fireworks and family reunions,positive,nationality,real,people_who,people who are chinese celebrate Chinese New Year with fireworks and family reunions,gen
chinese,chinese,enjoy dim sum for breakfast,positive,nationality,real,gen,chinese enjoy dim sum for breakfast,gen
chinese,chinese,enjoy dim sum for breakfast,positive,nationality,real,gen_people,chinese people enjoy dim sum for breakfast,gen
chinese,chinese,enjoy dim sum for breakfast,positive,nationality,real,people_who,people who are chinese enjoy dim sum for breakfast,gen
chinese,chinese,practice tai chi in the morning,positive,nationality,real,gen,chinese practice tai chi in the morning,gen
chinese,chinese,practice tai chi in the morning,positive,nationality,real,gen_people,chinese people practice tai chi in the morning,gen
chinese,chinese,practice tai chi in the morning,positive,nationality,real,people_who,people who are chinese practice tai chi in the morning,gen
chinese,chinese,drink green tea,positive,nationality,real,gen,chinese drink green tea,gen
chinese,chinese,drink green tea,positive,nationality,real,gen_people,chinese people drink green tea,gen
chinese,chinese,drink green tea,positive,nationality,real,people_who,people who are chinese drink green tea,gen
chinese,chinese,use chopsticks for meals,positive,nationality,real,gen,chinese use chopsticks for meals,gen
chinese,chinese,use chopsticks for meals,positive,nationality,real,gen_people,chinese people use chopsticks for meals,gen
chinese,chinese,use chopsticks for meals,positive,nationality,real,people_who,people who are chinese use chopsticks for meals,gen
chinese,chinese,prepare dumplings during the Spring Festival,positive,nationality,real,gen,chinese prepare dumplings during the Spring Festival,gen
chinese,chinese,prepare dumplings during the Spring Festival,positive,nationality,real,gen_people,chinese people prepare dumplings during the Spring Festival,gen
chinese,chinese,prepare dumplings during the Spring Festival,positive,nationality,real,people_who,people who are chinese prepare dumplings during the Spring Festival,gen
chinese,chinese,participate in the Dragon Boat Festival,positive,nationality,real,gen,chinese participate in the Dragon Boat Festival,gen
chinese,chinese,participate in the Dragon Boat Festival,positive,nationality,real,gen_people,chinese people participate in the Dragon Boat Festival,gen
chinese,chinese,participate in the Dragon Boat Festival,positive,nationality,real,people_who,people who are chinese participate in the Dragon Boat Festival,gen
chinese,chinese,honor ancestors during the Qingming Festival,positive,nationality,real,gen,chinese honor ancestors during the Qingming Festival,gen
chinese,chinese,honor ancestors during the Qingming Festival,positive,nationality,real,gen_people,chinese people honor ancestors during the Qingming Festival,gen
chinese,chinese,honor ancestors during the Qingming Festival,positive,nationality,real,people_who,people who are chinese honor ancestors during the Qingming Festival,gen
chinese,chinese,consume rice as a staple food,positive,nationality,real,gen,chinese consume rice as a staple food,gen
chinese,chinese,consume rice as a staple food,positive,nationality,real,gen_people,chinese people consume rice as a staple food,gen
chinese,chinese,consume rice as a staple food,positive,nationality,real,people_who,people who are chinese consume rice as a staple food,gen
chinese,chinese,appreciate calligraphy as an art form,positive,nationality,real,gen,chinese appreciate calligraphy as an art form,gen
chinese,chinese,appreciate calligraphy as an art form,positive,nationality,real,gen_people,chinese people appreciate calligraphy as an art form,gen
chinese,chinese,appreciate calligraphy as an art form,positive,nationality,real,people_who,people who are chinese appreciate calligraphy as an art form,gen
romanian,romanians,celebrate Easter with painted eggs and traditional foods,positive,nationality,real,gen,romanians celebrate Easter with painted eggs and traditional foods,gen
romanian,romanians,celebrate Easter with painted eggs and traditional foods,positive,nationality,real,gen_people,romanian people celebrate Easter with painted eggs and traditional foods,gen
romanian,romanians,celebrate Easter with painted eggs and traditional foods,positive,nationality,real,people_who,people who are romanian celebrate Easter with painted eggs and traditional foods,gen
romanian,romanians,enjoy polenta as a staple dish,positive,nationality,real,gen,romanians enjoy polenta as a staple dish,gen
romanian,romanians,enjoy polenta as a staple dish,positive,nationality,real,gen_people,romanian people enjoy polenta as a staple dish,gen
romanian,romanians,enjoy polenta as a staple dish,positive,nationality,real,people_who,people who are romanian enjoy polenta as a staple dish,gen
romanian,romanians,participate in caroling during Christmas,positive,nationality,real,gen,romanians participate in caroling during Christmas,gen
romanian,romanians,participate in caroling during Christmas,positive,nationality,real,gen_people,romanian people participate in caroling during Christmas,gen
romanian,romanians,participate in caroling during Christmas,positive,nationality,real,people_who,people who are romanian participate in caroling during Christmas,gen
romanian,romanians,make sour soup called ciorbă,positive,nationality,real,gen,romanians make sour soup called ciorbă,gen
romanian,romanians,make sour soup called ciorbă,positive,nationality,real,gen_people,romanian people make sour soup called ciorbă,gen
romanian,romanians,make sour soup called ciorbă,positive,nationality,real,people_who,people who are romanian make sour soup called ciorbă,gen
romanian,romanians,honor the tradition of Mărțișor in March,positive,nationality,real,gen,romanians honor the tradition of Mărțișor in March,gen
romanian,romanians,honor the tradition of Mărțișor in March,positive,nationality,real,gen_people,romanian people honor the tradition of Mărțișor in March,gen
romanian,romanians,honor the tradition of Mărțișor in March,positive,nationality,real,people_who,people who are romanian honor the tradition of Mărțișor in March,gen
romanian,romanians,"enjoy mici, a type of grilled sausage",positive,nationality,real,gen,"romanians enjoy mici, a type of grilled sausage",gen
romanian,romanians,"enjoy mici, a type of grilled sausage",positive,nationality,real,gen_people,"romanian people enjoy mici, a type of grilled sausage",gen
romanian,romanians,"enjoy mici, a type of grilled sausage",positive,nationality,real,people_who,"people who are romanian enjoy mici, a type of grilled sausage",gen
romanian,romanians,practice traditional dances like the hora,positive,nationality,real,gen,romanians practice traditional dances like the hora,gen
romanian,romanians,practice traditional dances like the hora,positive,nationality,real,gen_people,romanian people practice traditional dances like the hora,gen
romanian,romanians,practice traditional dances like the hora,positive,nationality,real,people_who,people who are romanian practice traditional dances like the hora,gen
romanian,romanians,use garlic in many dishes,positive,nationality,real,gen,romanians use garlic in many dishes,gen
romanian,romanians,use garlic in many dishes,positive,nationality,real,gen_people,romanian people use garlic in many dishes,gen
romanian,romanians,use garlic in many dishes,positive,nationality,real,people_who,people who are romanian use garlic in many dishes,gen
romanian,romanians,celebrate the Day of the Romanian Flag on June 26th,positive,nationality,real,gen,romanians celebrate the Day of the Romanian Flag on June 26th,gen
romanian,romanians,celebrate the Day of the Romanian Flag on June 26th,positive,nationality,real,gen_people,romanian people celebrate the Day of the Romanian Flag on June 26th,gen
romanian,romanians,celebrate the Day of the Romanian Flag on June 26th,positive,nationality,real,people_who,people who are romanian celebrate the Day of the Romanian Flag on June 26th,gen
romanian,romanians,make plum brandy called țuică,positive,nationality,real,gen,romanians make plum brandy called țuică,gen
romanian,romanians,make plum brandy called țuică,positive,nationality,real,gen_people,romanian people make plum brandy called țuică,gen
romanian,romanians,make plum brandy called țuică,positive,nationality,real,people_who,people who are romanian make plum brandy called țuică,gen
french,french,eat croissants,positive,nationality,real,gen,french eat croissants,gen
french,french,eat croissants,positive,nationality,real,gen_people,french people eat croissants,gen
french,french,eat croissants,positive,nationality,real,people_who,people who are french eat croissants,gen
french,french,enjoy wine,positive,nationality,real,gen,french enjoy wine,gen
french,french,enjoy wine,positive,nationality,real,gen_people,french people enjoy wine,gen
french,french,enjoy wine,positive,nationality,real,people_who,people who are french enjoy wine,gen
french,french,speak French,positive,nationality,real,gen,french speak French,gen
french,french,speak French,positive,nationality,real,gen_people,french people speak French,gen
french,french,speak French,positive,nationality,real,people_who,people who are french speak French,gen
french,french,love cheese,positive,nationality,real,gen,french love cheese,gen
french,french,love cheese,positive,nationality,real,gen_people,french people love cheese,gen
french,french,love cheese,positive,nationality,real,people_who,people who are french love cheese,gen
french,french,celebrate Bastille Day,positive,nationality,real,gen,french celebrate Bastille Day,gen
french,french,celebrate Bastille Day,positive,nationality,real,gen_people,french people celebrate Bastille Day,gen
french,french,celebrate Bastille Day,positive,nationality,real,people_who,people who are french celebrate Bastille Day,gen
french,french,fashion trends,positive,nationality,real,gen,french fashion trends,gen
french,french,fashion trends,positive,nationality,real,gen_people,french people fashion trends,gen
french,french,fashion trends,positive,nationality,real,people_who,people who are french fashion trends,gen
french,french,eat baguettes,positive,nationality,real,gen,french eat baguettes,gen
french,french,eat baguettes,positive,nationality,real,gen_people,french people eat baguettes,gen
french,french,eat baguettes,positive,nationality,real,people_who,people who are french eat baguettes,gen
french,french,appreciate fine dining,positive,nationality,real,gen,french appreciate fine dining,gen
french,french,appreciate fine dining,positive,nationality,real,gen_people,french people appreciate fine dining,gen
french,french,appreciate fine dining,positive,nationality,real,people_who,people who are french appreciate fine dining,gen
french,french,enjoy café culture,positive,nationality,real,gen,french enjoy café culture,gen
french,french,enjoy café culture,positive,nationality,real,gen_people,french people enjoy café culture,gen
french,french,enjoy café culture,positive,nationality,real,people_who,people who are french enjoy café culture,gen
french,french,visit art museums,positive,nationality,real,gen,french visit art museums,gen
french,french,visit art museums,positive,nationality,real,gen_people,french people visit art museums,gen
french,french,visit art museums,positive,nationality,real,people_who,people who are french visit art museums,gen
japanese,japanese,eat sushi,positive,nationality,real,gen,japanese eat sushi,gen
japanese,japanese,eat sushi,positive,nationality,real,gen_people,japanese people eat sushi,gen
japanese,japanese,eat sushi,positive,nationality,real,people_who,people who are japanese eat sushi,gen
japanese,japanese,celebrate cherry blossom festivals,positive,nationality,real,gen,japanese celebrate cherry blossom festivals,gen
japanese,japanese,celebrate cherry blossom festivals,positive,nationality,real,gen_people,japanese people celebrate cherry blossom festivals,gen
japanese,japanese,celebrate cherry blossom festivals,positive,nationality,real,people_who,people who are japanese celebrate cherry blossom festivals,gen
japanese,japanese,use chopsticks,positive,nationality,real,gen,japanese use chopsticks,gen
japanese,japanese,use chopsticks,positive,nationality,real,gen_people,japanese people use chopsticks,gen
japanese,japanese,use chopsticks,positive,nationality,real,people_who,people who are japanese use chopsticks,gen
japanese,japanese,enjoy hot springs (onsen),positive,nationality,real,gen,japanese enjoy hot springs (onsen),gen
japanese,japanese,enjoy hot springs (onsen),positive,nationality,real,gen_people,japanese people enjoy hot springs (onsen),gen
japanese,japanese,enjoy hot springs (onsen),positive,nationality,real,people_who,people who are japanese enjoy hot springs (onsen),gen
japanese,japanese,drink green tea,positive,nationality,real,gen,japanese drink green tea,gen
japanese,japanese,drink green tea,positive,nationality,real,gen_people,japanese people drink green tea,gen
japanese,japanese,drink green tea,positive,nationality,real,people_who,people who are japanese drink green tea,gen
japanese,japanese,practice calligraphy,positive,nationality,real,gen,japanese practice calligraphy,gen
japanese,japanese,practice calligraphy,positive,nationality,real,gen_people,japanese people practice calligraphy,gen
japanese,japanese,practice calligraphy,positive,nationality,real,people_who,people who are japanese practice calligraphy,gen
japanese,japanese,love ramen,positive,nationality,real,gen,japanese love ramen,gen
japanese,japanese,love ramen,positive,nationality,real,gen_people,japanese people love ramen,gen
japanese,japanese,love ramen,positive,nationality,real,people_who,people who are japanese love ramen,gen
japanese,japanese,wear kimonos,positive,nationality,real,gen,japanese wear kimonos,gen
japanese,japanese,wear kimonos,positive,nationality,real,gen_people,japanese people wear kimonos,gen
japanese,japanese,wear kimonos,positive,nationality,real,people_who,people who are japanese wear kimonos,gen
japanese,japanese,watch anime,positive,nationality,real,gen,japanese watch anime,gen
japanese,japanese,watch anime,positive,nationality,real,gen_people,japanese people watch anime,gen
japanese,japanese,watch anime,positive,nationality,real,people_who,people who are japanese watch anime,gen
japanese,japanese,observe traditional tea ceremonies,positive,nationality,real,gen,japanese observe traditional tea ceremonies,gen
japanese,japanese,observe traditional tea ceremonies,positive,nationality,real,gen_people,japanese people observe traditional tea ceremonies,gen
japanese,japanese,observe traditional tea ceremonies,positive,nationality,real,people_who,people who are japanese observe traditional tea ceremonies,gen
gipsy,gipsies,perform traditional music,positive,race,real,gen,gipsies perform traditional music,gen
gipsy,gipsies,perform traditional music,positive,race,real,gen_people,gipsy people perform traditional music,gen
gipsy,gipsies,perform traditional music,positive,race,real,people_who,people who are gipsy perform traditional music,gen
gipsy,gipsies,celebrate with lively dances,positive,race,real,gen,gipsies celebrate with lively dances,gen
